20220717	19:53:29	46312f71-fb51-4f37-8db7-106cdb9ed499	/	GET
20220717	19:53:29	af408ada-677a-4cf3-9c4a-5f5ff414abe4	/favicon.ico	GET
20220717	19:54:13	8d196411-ccd1-4b0b-9e0e-d4e2d2ec1eb7	/new-page	GET
20220717	19:54:13	48537fca-0a72-4c9a-a1b1-8ccf7dfc8888	/img/common-linux-commands.png	GET
20220717	19:56:17	a6e609c6-7845-40da-bb87-7f7fc679612c	/	GET
20220717	19:57:12	0b7b664e-4e0e-49e3-bfc5-0a4cd6c48010	/	GET
20220717	19:57:39	cdbf7af4-4eea-450c-a9e2-a0461812745f	/	GET
20220717	20:14:19	0138d09d-5b69-4435-8fe1-eed24461123e	/	GET
20220717	20:14:19	dbb86473-1d4d-4484-b49d-f40f3f61317e	/favicon.ico	GET
20220718	15:57:02	a6b14747-1a43-48f3-8079-86b4fef9399d	GET	undefined	/
20220718	15:57:02	76420ede-35f5-4c01-b1a0-a8aa808d1f26	GET	undefined	/css/styles.css
20220718	16:01:02	b7cced4a-38f1-4b5e-a265-f11c2c65bcb8	GET	undefined	/
20220718	16:01:02	71ac07ec-e174-426f-b237-85a76743a602	GET	undefined	/css/styles.css
20220718	16:01:29	f35d73e3-d455-4c34-b06b-353377cb89fb	GET	undefined	/
20220718	16:01:29	17289b03-f418-44fc-a526-4f8721f88c5a	GET	undefined	/css/styles.css
20220718	16:04:11	968c9012-5ea6-4880-a938-4ca6ca3732d0	GET	https://www.google.com	/
20220718	16:07:17	72c1584e-d125-473e-880e-4651b7ae3195	GET	https://www.google.com	/
20220718	16:19:05	2aa34b8d-6eda-452c-96dd-e0f65bbd013f	GET	undefined	/
20220718	16:19:05	90ddf08e-0b98-46b1-8314-c2f5da0aa482	GET	undefined	/css/styles.css
20220718	16:19:06	a758d7a8-a662-4809-9bea-dde9d5644712	GET	undefined	/
20220718	16:19:06	24421804-7643-435f-947a-1fbcd67ab178	GET	undefined	/css/styles.css
20220718	16:20:05	02f05572-edc6-4c67-aff9-6c3caa7377db	GET	undefined	/
20220718	16:20:05	d63c3de7-7023-4eba-a795-4962759415b3	GET	undefined	/css/styles.css
20220718	16:20:41	891033f4-9f4d-48ad-a5e6-99b829a2de5a	GET	undefined	/
20220718	16:20:41	7ba88bfc-382f-4e39-85fc-cdf4e254f55e	GET	undefined	/css/styles.css
20220718	16:30:38	cafdbab7-e701-4452-aaaa-bf6b211878dd	GET	undefined	/
20220718	16:30:38	34bb6ae2-67c0-4157-8cce-521eda713057	GET	undefined	/css/styles.css
20220719	17:55:31	0c8fa8d6-0a66-4b8e-85e8-baee3b847013	GET	undefined	/
20220719	17:55:31	03384d58-aba4-40a1-9e2e-a43c0bdae392	GET	undefined	/css/styles.css
20220719	17:55:31	169bc488-750e-46c7-8082-8cc49d079d35	GET	undefined	/favicon.ico
